Name,Lat,Lon
7-ELEVEN 鐵鎮店,25.0274468,121.2302039
7-ELEVEN 江園店,25.0044169,121.228549
Parking  Luzhu Daxin Parking Lot_桃園市蘆竹大新停車場,25.0246193,121.2563956
Civil Sports Center Luzhu _桃園市蘆竹國民運動中心,25.051226,121.2943751
Family Mart Luzhu Jilin Shop_全家蘆竹吉林店,25.0513842,121.2961012
Family Mart Luzhu Wufu Shop_全家蘆竹五福店,25.0578458,121.295055
Gogoro Linkou Renai Shop_ 林口仁愛店,25.0760796,121.375261
Soochow University (Downtown Campus)_東吳大學城區部,25.0382495,121.509601
National Theater & Concert Hall_臺北市國家兩廳院,25.0390558,121.5176437
Sheraton Grand Taipei Hotel_台北喜來登大飯店,25.0445802,121.5224401
Renai Rd. & Linsen Rd. Intersection_臺北市仁愛路林森路口,25.038485,121.5214415
Linyi St. Lane 6 Scooter Parking Lot_臺北市臨沂街6巷機車平面停車場,25.0428591,121.530054
Linyi St. Parking Lot_臺北市臨沂街平面停車場,25.0368656,121.5286672
Guanghua Digital Plaza_光華數位新天地,25.0451499,121.5319628
PX Mart Zhongzhe Yanping Shop_全聯中正延平店,25.0337995,121.5075571
Taipei Botanical Garden_臺北植物園,25.0306703,121.5085537
Soker_SOKER 中正重慶店,25.0302562,121.5152729
Ying-An 168 Fuzhou Parking Lot_應安168 福州停車場,25.0266191,121.5149093
NTUE Industry-Academia Collaboration and Incubation Center_國立臺北教育大學產學合作暨育成中心,25.0264498,121.5183593
Gongguan Waterfront New World Scooter Temporary Parking Lot_公館水岸新世界機車臨時平面停車場,25.013284,121.5303215
Yuquan Park_臺北市玉泉公園,25.0501036,121.5072718
First Bank_第一銀行大稻埕分行,25.0557803,121.51015
Yongle Elementary School_臺北市永樂國小,25.0605241,121.510593
Taipei Bridge Underpass Parking Lot_臺北市臺北大橋橋下停車場,25.063125,121.509893
Jian Cheng Junior High School Underground Parking B1F_建成國中地下停車場B1F,25.0504025,121.5196569
Jiancheng Park Underground Parking B1F_建成公園地下停車場B1F,25.0540267,121.5184286
First bank_第一銀行重慶北路,25.0601377,121.5130694
Chiang Wei-shui Memorial Park_臺北市蔣渭水紀念公園,25.0598269,121.5169274
Shude Park_臺北市樹德公園,25.0673826,121.5165305
Chengde Rd. Sec. 3_臺北市大同區承德路三段,25.0710219,121.5188456
Taipei DigiBlock_臺北市數位產業園區,25.0742491,121.52063
Dalong Park_臺北市大龍公園,25.0706335,121.5158263
School for the Hearing Impaired Underground Parking B1F_啟聰學校地下停車場B1F,25.0744147,121.5119779
Tsuji_慈濟台北大同靜思堂,25.07612,121.512106
Cooperation Bank_合作金庫銀行自強分行,25.0523761,121.5318859
Huashan Park_臺北市華山公園,25.047521,121.5277227
First Bank_第一銀行中山分行,25.0561939,121.5235312
MRT Minquan West Rd. Station_台北捷運民權西路,25.0614531,121.5201433
Xinshou Park_臺北市新壽公園,25.0630436,121.5296826
Gogoro Xinsheng Civic Service Center_ 新生市民服務中心,25.0468474,121.5315515
Xinsheng North Plaza Parking Lot_臺北市新生北廣場停車場,25.0628239,121.5277545
Gas Staion CPC Xinsheng North Rd. _中油新生北路,25.0564859,121.5280633
Shih Chien University_實踐大學,25.0849116,121.5452069
Family Mart Meihua Shop_全家美華店,25.084711,121.555244
Gogoro Zhongshan Songjiang Service Center_ 中山松江服務中心,25.066886,121.532984
Car dealer_康晰汽車有限公司,25.0726141,121.5531676
Xinsheng Park Parking Lot_臺北市新生公園停車場,25.06861,121.531211
7-ELEVEN Rongxin Shop_ 榮鑫店,25.0656223,121.5368585
Rongxing Garden Underground Parking B1F_榮星花園地下停車場B1F,25.0640384,121.5377847
Rongxing Park_臺北市榮星公園,25.0634668,121.5391412
National Taipei University (Taipei Campus)_國立臺北大學臺北校區,25.0584206,121.5426201
Xingan St._臺北市中山區興安街,24.9440905,121.3709602
Zhongyang Village_臺北市中山區中央里,25.0568908,121.5333651
Convenience Parking Jianguo_便利停車場建國,25.0547495,121.5370927
7-ELEVEN Jinyan Shop_ 金宴店,25.0616652,121.5385325
Jianguo North Rd. Overpass Parking Lot_臺北市建國北路高架橋下停車場,25.046788,121.537026
Zhongshan Market_臺北市中山市場,25.0501018,121.5209664
Dunhua North Rd._臺北市敦化北路,25.0564809,121.549584
Minyou Market Underground Parking B1F_民有市場地下停車場B1F,25.0604589,121.5470329
Minquan East Rd. Sec. 4_臺北市民權東路四段,25.0622653,121.5582075
Gas Staion CPC Fuxing North Rd. _中油復興北路,25.0495106,121.5444075
Cooperation Bank_合作金庫銀行總行,25.0483677,121.5453973
First Bank_第一銀行延吉,25.046405,121.553632
