Name,Lat,Lon
中油思源加油站,25.014648,121.395248
師大校本部站A,25.026609,121.526498
Gogoro 台南健康門市站,22.981454,120.209983
HiLife 竹北北鮮店站,24.834422,121.009722
臺中市社會住宅預定地臨時停車場站,24.254953,120.724249
台北捷運北投站B,25.130398,121.499995
統冠超市福興店站,23.969882,121.561082
高手庭園保齡球館站B,25.021583,121.479961
7-ELEVEN 新東專店站,22.880454,120.249708
全家大里大金店站A,24.090151,120.690631
全聯八德興豐店站A,24.929646,121.288976
六龜區農會站,22.995242,120.635129
全聯梧棲文昌店站A,24.245264,120.537675
中油清水加油站,24.277794,120.578493
臺北市象山公園站B,25.029699,121.570154
寶雅桃園德華店站B,24.990937,121.288232
中油高雄林森二路加油站,22.623418,120.306076
7-ELEVEN 美溪店站B,23.963417,120.481742
中油民雄加油站,23.551,120.433472
榮星花園地下停車場B1F站,25.064194,121.538248
康是美員義藥局店站A,23.954514,120.569272
全聯左營博愛三店站B,22.67485,120.305951
中油主成加油站,22.693361,121.048673
新北市建國一路平面停車場站B,25.024116,121.434679
新北市建國公有停車場站B,24.986343,121.537739
7-ELEVEN 明峰店站B,25.070012,121.628817
華夏科技大學站C,24.980303,121.508726
全家歸仁大順店站B,22.965308,120.288344
宏佳騰沙鹿福德店站B,24.251657,120.567832
814生鮮超市高雄大社店站B,22.732159,120.344308
基隆市安樂區公所站,25.121164,121.723477
新北市光華段機車場站B,25.011584,121.452081
中油千億加油站,24.931689,121.197984
新北市五股區工商路立體停車場B1F站,25.08358,121.439239
中油光騏加油站,24.738976,120.904295
新北市訊塘廣場站A,25.142856,121.395259
明新科技大學站A,24.864654,120.990379
U-POWER 台南東區裕農站A,22.990184,120.2447
中油東山路加油站,24.176918,120.728089
宏佳騰三重重陽店站B,25.072277,121.493642
T.CBD 台塑總部站B,25.058263,121.587456
台電鳳山區營業處站A,22.621943,120.349646
新北市永和上林里站B,25.015314,121.52114
全聯彰化彰安店站A,24.064469,120.534445
桃園市復興停車場站B,24.975097,121.251522
7-ELEVEN 新潭店站,22.679363,120.520133
臺中市永興停車場站C,24.165032,120.682651
太平洋建設德行東路站B,25.110008,121.534934
臺北市內湖焚化廠站A,25.062583,121.603495
全聯員林育英店站,23.969345,120.573937
全家台南府南店站A,22.971857,120.192941
中油仁武加油站,22.703342,120.344502
全家高雄大坪頂店站,22.556231,120.381676
新竹竹蓮市場站A,24.797328,120.971723
全聯社頭民生店站A,23.89604,120.589124
HiLife 蘆洲光榮店站,25.088642,121.463277
7-ELEVEN 南門城店站,22.983656,120.204114
中油台南土城加油站,23.06842,120.134596
臺北市建國仁愛路口站C,25.03947,121.539065
PGO 三重成功店站B,25.052275,121.487374
中油寶山加油站,24.763031,120.986505
新北市淡水稽徵所旁機車場站A,25.17146,121.438156
臺北市公有環南市場站B,25.02876,121.489604
新北市三重三陽路名源街口站B,25.059347,121.482766
全聯台南林森店站,22.982401,120.220789
台南市仁德區保學路停車場站B,22.919622,120.235497
台灣聯通大順場站A,22.640504,120.327191
中油建國一路加油站,22.632993,120.330243
臺北市警察局臥龍街派出所站A,25.017732,121.551895
HiLife 屏東好豐年店站,22.679109,120.506099
全家台中龍富店站B,24.140802,120.626419
全聯台南民權店站,22.999255,120.177677
中油大埔加油站,24.915079,121.366463
Gogoro 安南北安店站B,23.039598,120.203187
全聯台中忠孝店站A,24.132977,120.69033
國立臺北教育大學站A,25.024132,121.546616
統一速邁樂龍潭加油站B,24.861643,121.207074
桃園市廣興停車場站,24.93626,121.284709
中油國聖加油站,24.094802,120.569661
大同社會住宅站C,22.627095,120.294619
彰化市清潔隊站A,24.067899,120.541765
全聯高雄藍昌店站A,22.728962,120.291906
山隆大發加油站A,22.594708,120.405537
臺北市光復民權站C,25.061077,121.55545
台亞桃園中山加油站,24.975859,121.26598
新北市六張公園站B,25.069906,121.494312
板橋第一體育場站C,25.010119,121.467896
臺北市蔣渭水紀念公園站B,25.060042,121.517371
中油阿里山新加油站,23.504323,120.792471
HiLife 永康巧遇店站,23.015158,120.255122
新北市水尾停車場站,25.222507,121.646641
中油運河南路加油站,22.635276,120.295263
全聯學甲華宗店站,23.23574,120.182747
中油全鋒台茂加油站,25.070848,121.27521
臺中市麗園停車場站,24.158614,120.733442
彰化員林轉運站A,23.962583,120.568725
中油源大加油站,22.498369,120.460583
勝利加油站A,25.030964,121.537682
全聯南投學藝店站,23.950059,120.688614
板橋體育館站B,25.013029,121.456819
新北市三重國道路力行路口站A,25.072912,121.482071
全聯南投草屯店站A,23.983064,120.679846
全家員林正新店站B,23.96059,120.582742
全家仁德二空店站B,22.958014,120.228134
宜蘭福利站A,24.67879,121.772746
全家歸仁榮大店站,22.910211,120.270315
春光公園地下停車場B1F站,25.0425,121.581141
臺中市同心停車場站B,24.178953,120.638145
全聯中和南山店站A,24.992173,121.503899
Gogoro 新店民權門市站,24.982884,121.534204
福懋新美加油站,24.09573,120.529247
臺北市碧湖公園站B,25.080026,121.58309
中油千越鳥松加油站,22.653694,120.365442
宏佳騰和美德美店站B,24.113091,120.502154
臺中市大肚地下停車場站A,24.151516,120.546192
全聯彰化鹿港店站B,24.054909,120.438671
宏佳騰新莊中正店站,25.037916,121.45909
台北捷運府中站A,25.009438,121.459951
7-ELEVEN 鹿正店站,24.061835,120.436642
台糖中興二加油站,22.727476,121.119017
新北市土城長風新城社區站B,24.978112,121.439773
桃園市正光二街停車場站,24.959335,121.205404
福懋燕巢加油站,22.792407,120.349922
小北百貨新莊四維店站,25.023526,121.423953
家樂福南投店站,23.905919,120.689301
新北市水柳腳立體停車場站,24.935566,121.710113
全聯三民十全三店站A,22.646168,120.290079
藏壽司頭份運動公園店站,24.691429,120.891138
家樂福便利購左營南屏店站,22.668167,120.299729
