Name,Lat,Lon
2-Unit 18事紀館紅樓站,22.687801,120.322894
2-Unit 7-ELEVEN 九份子店站,23.02186,120.185051
2-Unit 7-ELEVEN 三聖店站,22.921405,120.18177
2-Unit 7-ELEVEN 千雄店站,25.057661,121.278083
2-Unit 7-ELEVEN 大果店站,24.189598,120.688899
2-Unit 7-ELEVEN 大營店站,23.09653,120.313261
2-Unit 7-ELEVEN 山民店站,24.995423,121.324254
2-Unit 7-ELEVEN 中慈店站,25.003655,121.298316
2-Unit 7-ELEVEN 丹榮店站,22.588824,120.49194
2-Unit 7-ELEVEN 正港店站,22.728943,120.256475
2-Unit 7-ELEVEN 永嘉店站,23.01867,120.24903
2-Unit 7-ELEVEN 田正店站,23.887352,120.524634
2-Unit 7-ELEVEN 吉峰店站,24.068567,120.699323
2-Unit 7-ELEVEN 安安店站,23.061261,120.133971
2-Unit 7-ELEVEN 見晴園店站,24.041202,121.158163
2-Unit 7-ELEVEN 和峰店站,24.106664,120.499193
2-Unit 7-ELEVEN 怡平店站,22.993943,120.178925
2-Unit 7-ELEVEN 明峰店站,25.070012,121.628417
2-Unit 7-ELEVEN 東泓店站,24.127188,120.699866
2-Unit 7-ELEVEN 東糖店站,22.768996,121.126106
2-Unit 7-ELEVEN 欣樂店站,24.871887,120.985941
2-Unit 7-ELEVEN 金玉店站,24.463919,121.797801
2-Unit 7-ELEVEN 金沅店站,24.904865,121.230576
2-Unit 7-ELEVEN 長業店站,24.978817,121.249844
2-Unit 7-ELEVEN 亮亞店站,25.020779,121.2578
2-Unit 7-ELEVEN 宣宏店站,24.690715,121.764162
2-Unit 7-ELEVEN 星光店站,23.794191,120.46291
2-Unit 7-ELEVEN 柏魁店站,25.024967,121.368056
2-Unit 7-ELEVEN 美溪店站,23.963417,120.481342
2-Unit 7-ELEVEN 重和店站,22.683011,120.314454
2-Unit 7-ELEVEN 海裕店站,23.006395,120.199681
2-Unit 7-ELEVEN 烏日店站,24.104068,120.624313
2-Unit 7-ELEVEN 益慶店站,22.639582,120.418503
2-Unit 7-ELEVEN 高昌店站,22.74694,120.33045
2-Unit 7-ELEVEN 祥佑店站,25.013328,121.293219
2-Unit 7-ELEVEN 凱瑄店站,23.679346,120.474495
2-Unit 7-ELEVEN 善良店站,23.127697,120.293923
2-Unit 7-ELEVEN 喬興店站,23.117196,120.202508
2-Unit 7-ELEVEN 復中店站,22.617665,120.310316
2-Unit 7-ELEVEN 景竹店站,25.025638,121.26069
2-Unit 7-ELEVEN 湖華店站,23.003289,120.185863
2-Unit 7-ELEVEN 湳港店站,23.917418,120.54623
2-Unit 7-ELEVEN 華電店站,25.027565,121.553581
2-Unit 7-ELEVEN 超全店站,22.610313,120.342402
2-Unit 7-ELEVEN 新同安店站,23.038808,120.188056
2-Unit 7-ELEVEN 新宏昌店站,22.716711,120.287675
2-Unit 7-ELEVEN 新忠貞店站,24.242155,120.614401
2-Unit 7-ELEVEN 新都店站,25.044093,121.454265
2-Unit 7-ELEVEN 彰泳店站,24.092229,120.542665
2-Unit 7-ELEVEN 彰德店站,24.083057,120.589412
2-Unit 7-ELEVEN 愿景店站,25.056844,121.373993
2-Unit 7-ELEVEN 精科店站,24.145256,120.611003
2-Unit 7-ELEVEN 潭厝店站,24.201361,120.703731
2-Unit 7-ELEVEN 興安店站,24.233191,120.558467
2-Unit 7-ELEVEN 豐收店站,23.562027,120.461412
2-Unit 7-ELEVEN 鎮豐店站,24.900175,121.208209
2-Unit 7-ELEVEN 鑫工和店站,24.176291,120.589751
2-Unit A5 泰山站,25.052557,121.439608
2-Unit administration-office Parking 臺中市外埔區公所旁停車場站,24.332264,120.654734
2-Unit administration-office Parking 臺灣大道市政大樓附屬平面停車場站(惠中路側),24.161998,120.645066
2-Unit administration-office 三民區公所站,22.647679,120.29966
2-Unit administration-office 大寮區公所站,22.605393,120.395503
2-Unit administration-office 花蓮市公所站,23.982203,121.606733
2-Unit administration-office 南投埔里鎮公所站,23.966754,120.969337
2-Unit administration-office 南投縣南投市公所站,23.911492,120.686976
2-Unit administration-office 桃園市中壢區公所站,24.965069,121.225046
2-Unit administration-office 基隆市中山區公所站,25.153132,121.729445
2-Unit administration-office 基隆市中正區公所站,25.140654,121.759345
2-Unit administration-office 新北市三重區公所站,25.061236,121.48878
2-Unit administration-office 新北市三峽區公所站,24.934082,121.369167
2-Unit administration-office 新北市中和區公所站,24.998709,121.501207
2-Unit administration-office 新北市樹林區公所站,24.989855,121.424404
2-Unit administration-office 新北市鶯歌區公所站,24.955925,121.354551
2-Unit administration-office 新竹縣北埔鄉公所站,24.701879,121.056727
2-Unit administration-office 新莊區公所站,25.036032,121.450186
2-Unit administration-office 臺中市大雅區公所站,24.229194,120.648217
2-Unit administration-office 臺中市沙鹿區公所站,24.233082,120.566741
2-Unit administration-office 臺中市東區區公所站,24.137038,120.703963
2-Unit administration-office 臺中市東勢區公所站,24.258953,120.827972
2-Unit administration-office 臺中市豐原區公所站,24.24195,120.718374
2-Unit administration-office 橋頭區公所站,22.757665,120.30575
2-Unit Aeon Culture 宏佳騰板橋文化店站,25.017929,121.464665
2-Unit Aeon 宏佳騰三重重陽店站,25.072277,121.493242
2-Unit Aeon 宏佳騰中壢中山東店站,24.944236,121.248268
2-Unit Aeon 宏佳騰北屯中清店站,24.187878,120.662931
2-Unit Aeon 宏佳騰沙鹿福德店站,24.251657,120.567432
2-Unit Aeon 宏佳騰和美德美店站,24.113091,120.501754
2-Unit Aeon 宏佳騰東區精武店站,24.148017,120.692283
2-Unit A-Mart 愛買三重店站,25.071251,121.475951
2-Unit A-Mart 愛買板橋南雅店站,25.001697,121.456361
2-Unit A-Mart 愛買桃園店站,24.985573,121.285571
2-Unit A-Mart 愛買復興店站,24.11493,120.654411
2-Unit A-Mart 愛買豐原店站,24.255753,120.734851
2-Unit B&Q 特力屋屏東店站,22.660723,120.510095
2-Unit B&Q 特力屋高雄鳳山店站,22.605747,120.342937
2-Unit B&Q 特力屋嘉義店站,23.500899,120.449216
2-Unit Bank Mart 臺南市下營區下營農會超市站,23.237503,120.267528
2-Unit Bank 小港區農會站,22.565788,120.338461
2-Unit Bank 太平區農會站,24.124673,120.714789
2-Unit Bank 合作金庫銀行自強分行站,25.052507,121.531992
2-Unit Bank 合作金庫銀行總行站,25.049025,121.546029
2-Unit Bank 宜蘭縣五結鄉農會站,24.685154,121.797647
2-Unit Bank 高雄市大社區農會站,22.729546,120.346726
2-Unit Bank 第一銀行大稻埕分行站,25.055861,121.510055
